title,start_date,game,tags,summary,number_of_chats,revenue
有保直抢，有六不穿,2026-10-01,暗区,,聊麻辣和二游,,
有大直憋，有钱不用,2026-10-02,英雄连2,,,,
有大直憋，有钱不用,2026-10-03,暗区 少前2,,少前2歧路双轨上半活动剧情,,
我有免保证,2026-10-04,暗区,,聊AI麻辣婚恋,,
我有免保证,2026-10-05,暗区,,锐评三角洲,,
我有免保证,2026-10-06,暗区,,类塔共享家园,,
撤离点起码撤100个人,2026-10-07,暗区,,看麻辣小作文-风味二游,,
大战场,2026-10-08,英雄连2,,,,
撤离太简单物价飞涨,2026-10-09,暗区,,聊二游-看AI哦对了,,
玩鸣潮,2026-10-10,鸣潮,,2.7上半主线,,
薯条,2026-10-11,战地6,,开荒战地6多人,,
有保不吃,2026-10-12,暗区,,聊二游,,
有保不吃,2026-10-13,暗区,,老胡与UN-AI-麻友TV,,
小战场,2026-10-14,战地6,,,,
队友剪辑有人,2026-10-15,暗区,,聊AI-产业分析-劳动价值论-聊尼基塔,,
搜打撤 共享家园,2026-10-16,Whiskerwood,,鼠鼠共享家园,,
终局之战,2026-10-17,少前1,,零态潮汐活动剧情,,
终局之战,2026-10-18,暗区,,AI-聊鸣潮-bilibili吧,,
丫丫接你回家,2026-10-19,鸭科夫,,,,
3x4道具 你在哪？,2026-10-20,塔科夫,,聊麻辣,,
打不过 爆一地游戏,2026-10-21,鸭科夫 少前2追放,,聊受着-少前2歧路双轨下半活动剧情,,
打不过 爆一地游戏,2026-10-22,暗区,,聊三角洲-厂商孝子,,
丫丫回家,2026-10-23,暗区,,新月同行-AI与生产过剩,,
正在和免保对枪，正在和你打的包对枪,2026-10-24,暗区,,CS饰品-赢学-崩铁累充-二游厂家,,
猛攻免保 猛攻藏身处,2026-10-25,暗区,,崩铁累充-新月同行-聊主播商单,,
猛攻免保 猛攻藏身处,2026-10-26,暗区,,异格银灰节奏-崩铁累充,,
丫丫回家,2026-10-27,鸭科夫,,澎湖海战-ruler,,
丫丫回家,2026-10-28,英雄连2,,,,
反麻游戏暗区突围,2026-10-29,鸭科夫 暗区,,评价各种饮料-婚恋-集美,,
丫丫回家,2026-10-30,鸭科夫,,评价鸭科夫-聊麻辣,,
丫丫回家,2026-10-31,鸭科夫 妮姬 英雄连2,,鸭科夫聊二游-尼姬抽奈由多,,
猛攻免保 猛攻藏身处,2026-11-01,暗区,,填终末地测试申请-看集美评论-鸭科夫麻哥们,,
猛攻免保 猛攻藏身处,2026-11-02,暗区,,鸭科夫的麻哥们和皱皮小吧-终末地,,
我有免保证,2026-11-03,暗区,,麻辣鸭科夫小作文-聊明清,,
农场抢空投，天上掉大金,2026-11-04,暗区,,暗区空投小金活动,,
农场抢空投，天上掉大金,2026-11-05,暗区,,看北兰岛和樱花PV-聊二游里的武器和小游戏,,
大战场,2026-11-06,英雄连2,,抽崩铁-英雄连2,,
鼠鼠家园,2026-11-07,EU5,,EU5拜占庭,,
猛攻免保，猛攻藏身处,2026-11-08,EU5 暗区,,EU5-吃瓜蒙主/皇汉-崩铁大丽花节奏-二游和单机游戏社区,,
猛攻免保 猛攻藏身处,2026-11-09,EU5 暗区,,EU5-大丽花和政治正确-麻哥们盗版有理-李老八,,
猛攻免保 猛攻藏身处,2026-11-10,EU5 暗区,,小米和酸角粥-自媒体-明末-看洋基米讽刺遗老-EU5,,
鼠鼠夺舍流,2026-11-11,少前2 NIKKE 绝区零 Whiskerwood,,少前2樱花活动和大休息室剧情-抽妮姬和zzz-鼠鼠家园,,
鼠鼠夺舍流,2026-11-12,Whiskerwood 暗区,,男麻小吧借钱打胎-试图和麻哥们聊少前剧情,,
鼠鼠夺舍流,2026-11-13,Whiskerwood,,鼠鼠家园.,,
鼠鼠夺舍流,2026-11-14,Whiskerwood,,鼠鼠家园.,,
我寻思这也进不去游戏啊.,2026-11-15,暗区,,川友反串被举办爆破外群-亲戚TV-聊主播,,
我寻思这也进不去游戏啊.,2026-11-16,Whiskerwood 暗区,,括群与嗨粉-聊麻辣和二游,,
